"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 22 13:44:29 GMT 2023","Sat Apr 22 13:44:32 GMT 2023","2733","TC.conduit","test_conduit","TestRegistration","","","Új felhasználó regisztrációja","Felhasználónév:testuser_020230422134429891619, email testuser_020230422134429891619@testmail.com,
 jelszó Password_01. rögzítve"
"passed","Sat Apr 22 13:44:33 GMT 2023","Sat Apr 22 13:44:50 GMT 2023","17038","TC.conduit","test_conduit","TestRegistration","","","10 új felhasználó regisztrációja","testuser_020230422134433716711 felhasználó létrehozva
testuser_120230422134433716738 felhasználó létrehozva
testuser_220230422134433716748 felhasználó létrehozva
testuser_320230422134433716765 felhasználó létrehozva
testuser_420230422134433716774 felhasználó létrehozva
testuser_520230422134433716782 felhasználó létrehozva
testuser_620230422134433716789 felhasználó létrehozva
testuser_720230422134433716797 felhasználó létrehozva
testuser_820230422134433716805 felhasználó létrehozva
testuser_920230422134433716813 felhasználó létrehozva
"
"passed","Sat Apr 22 13:44:59 GMT 2023","Sat Apr 22 13:45:02 GMT 2023","2948","TC.conduit","test_conduit","TestLoginLogout","","","Létező felhasználó kijelentkezése","1. A létrehozott tesztelek felhasználó kijelentkeztetése"
"failed","Sat Apr 22 13:45:04 GMT 2023","Sat Apr 22 13:45:06 GMT 2023","1936","TC.conduit","test_conduit","TestUserActions","","","Cikk előnézetek listázása ","1. Felhasználó bejelentkezés 
2. A felhasználó által látható összes cikk listázása Üzenet:
[('testuser1', 'Lorem ipsum dolor sit amet', 'consectetur adipiscing elit', 'April 22, 2023', ['lorem', 'ipsum', 'dolor']), ('testuser2', 'In nisl nisi scelerisque eu', 'ultrices vitae auctor eu.', 'April 22, 2023', ['lorem', 'nisil']), ('testuser1', 'Urna nunc id cursus metus.', 'Id leo in vitae turpis massa.', 'April 22, 2023', ['urna', 'nunc']), ('testuser1', 'Egestas egestas', 'fringilla phasellus faucibus scelerisque', 'April 22, 2023', ['lorem', 'ipsum', 'dolor']), ('testuser3', 'Laoreet suspendisse interdum', 'consectetur libero id faucibus nisl tincidunt', 'April 22, 2023', ['laoreet', 'dorum', 'ipsum']), ('testuser1', 'Nibh praesent tristique magna', 'sit amet purus gravida quis', 'April 22, 2023', ['loret', 'dolor']), ('testuser2', 'Eget mi proin sed libero', 'enim sed faucibus turpis in', 'April 22, 2023', ['loret', 'dolor', 'nibih']), ('testuser1', 'Nunc lobortis mattis aliquam', 'faucibus purus in massa tempor', 'April 22, 2023', ['mitast']), ('testuser4', 'Cras sed felis eget velit', 'velit aliquet sagittis', 'April 22, 2023', ['dolor']), ('testuser4', 'Elementum facilisis leo vel fringilla', 'est ullamcorper eget nulla', 'April 22, 2023', ['leo']), ('testuser4', 'Mi eget mauris pharetra et', 'A erat nam at lectus urna duis convallis', 'April 22, 2023', ['dolor'])]"
"passed","Sat Apr 22 13:44:27 GMT 2023","Sat Apr 22 13:44:27 GMT 2023","37","TC.conduit","test_conduit","TestMain","","","Conduit megjelenítése","1. Oldal megnyitása 
 Logó megjelenésének ellenőrzése"
"passed","Sat Apr 22 13:45:08 GMT 2023","Sat Apr 22 13:45:10 GMT 2023","2052","TC.conduit","test_conduit","TestUserActions","","","Cikk előnázetek listázása és mentése","1. Felhasználó bejelentkezés 
2. A felhasználó által látható összes cikk listázása
3. A felhasználó által látható összes cikk előnézetének listázása és mentése fájlba Üzenet:
Mentés megtörtént a article_previews.csv fájlba"
"passed","Sat Apr 22 13:45:17 GMT 2023","Sat Apr 22 13:45:20 GMT 2023","3404","TC.conduit","test_conduit","TestArticle","","","Létrehozott cikk törlése","1. Felhasználó bejelentkezés 
2. Új cikk létrehozása generált adatokkal.
3. Cikk törlése"
"passed","Sat Apr 22 13:45:32 GMT 2023","Sat Apr 22 13:45:34 GMT 2023","2179","TC.conduit","test_conduit","TestUserData","","","Létrehozott felhasználó adatainak módosítása","1. Új Felhasználó létrehozása 
2. Bejelentkezés 
3. E-mail cím módosítása
4. E-mail cím ellenőrzése adatbázisban"
"passed","Sat Apr 22 13:45:13 GMT 2023","Sat Apr 22 13:45:15 GMT 2023","1535","TC.conduit","test_conduit","TestArticle","","","Random cikk létrehozása","1. Felhasználó bejelentkezés 
2. Új cikk létrehozása generált adatokkal."
"passed","Sat Apr 22 13:44:56 GMT 2023","Sat Apr 22 13:44:58 GMT 2023","1292","TC.conduit","test_conduit","TestLoginLogout","","","Nem létező felhasználó bejelentkezésének visszautasítása"," 1. A dummy felhasználó bejelentkezésének elutasítása"
"passed","Sat Apr 22 13:44:54 GMT 2023","Sat Apr 22 13:44:55 GMT 2023","822","TC.conduit","test_conduit","TestLoginLogout","","","Felhasználó bejelentkezése","1. A létrehozott tesztelek felhasználó bejelentkeztetése"
"passed","Sat Apr 22 13:45:22 GMT 2023","Sat Apr 22 13:45:26 GMT 2023","3151","TC.conduit","test_conduit","TestArticle","","","Létrehozott cikk módosítása","1. Felhasználó bejelentkezés 
2. Új cikk létrehozása generált adatokkal.
3. Cikk módosítása"
"passed","Sat Apr 22 13:44:28 GMT 2023","Sat Apr 22 13:44:28 GMT 2023","91","TC.conduit","test_conduit","TestMain","","","Conduit adatkezelési nyilatkozat","1. Adatkezelési nyilatkozat megléte 
2. Annak elfogadása"
