"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 20 14:14:33 GMT 2023","Thu Apr 20 14:14:36 GMT 2023","3396","TC.conduit","test_conduit","TestArticle","","","Létrehozott cikk törlése",""
"passed","Thu Apr 20 14:13:55 GMT 2023","Thu Apr 20 14:13:56 GMT 2023","135","TC.conduit","test_conduit","TestMain","","","Conduit adatkezelési nyilatkozat","Adatkezelési nyilatkozat megléte és elfogadása"
"passed","Thu Apr 20 14:13:57 GMT 2023","Thu Apr 20 14:14:00 GMT 2023","2813","TC.conduit","test_conduit","TestRegistration","","","Új felhasználó rögzítése","Felhasználónév:testuser_020230420141357231439, email testuser_020230420141357231439@testmail.com,
 jelszó Password_01. rögzítve"
"passed","Thu Apr 20 14:14:24 GMT 2023","Thu Apr 20 14:14:25 GMT 2023","852","TC.conduit","test_conduit","TestLoginLogout","","","Létező felhasználó kijelentkezése","A létrehozott tesztelek felhasználó kijelentkeztetése"
"passed","Thu Apr 20 14:14:01 GMT 2023","Thu Apr 20 14:14:16 GMT 2023","15685","TC.conduit","test_conduit","TestRegistration","","","10 új felhasználó rögzítése","testuser_020230420141401138722 felhasználó létrehozva
testuser_120230420141401138742 felhasználó létrehozva
testuser_220230420141401138749 felhasználó létrehozva
testuser_320230420141401138755 felhasználó létrehozva
testuser_420230420141401138761 felhasználó létrehozva
testuser_520230420141401138767 felhasználó létrehozva
testuser_620230420141401138773 felhasználó létrehozva
testuser_720230420141401138779 felhasználó létrehozva
testuser_820230420141401138785 felhasználó létrehozva
testuser_920230420141401138797 felhasználó létrehozva
"
"passed","Thu Apr 20 14:14:46 GMT 2023","Thu Apr 20 14:14:48 GMT 2023","1931","TC.conduit","test_conduit","TestUserData","","","Random létrehozott user adatainak módosítása",""
"passed","Thu Apr 20 14:14:22 GMT 2023","Thu Apr 20 14:14:23 GMT 2023","1250","TC.conduit","test_conduit","TestLoginLogout","","","Nem létező felhasználó bejelentkezésének visszautasítása","A dummy felhasználó bejelentkezésének elutasítása"
"passed","Thu Apr 20 14:14:38 GMT 2023","Thu Apr 20 14:14:40 GMT 2023","2246","TC.conduit","test_conduit","TestArticle","","","Létrehozott cikk módosítása",""
"failed","Thu Apr 20 14:14:27 GMT 2023","Thu Apr 20 14:14:27 GMT 2023","47","TC.conduit","test_conduit","TestUserActions","","","Cikkek listázása és mentése","A felhasználó által látható összes cikk listázása és mentése
Üzenet:
Sikertelen mentés: "
"passed","Thu Apr 20 14:13:54 GMT 2023","Thu Apr 20 14:13:54 GMT 2023","49","TC.conduit","test_conduit","TestMain","","","Conduit megjelenítése","Oldal megnyitása és a logó megjelenésének ellenőrzése"
"passed","Thu Apr 20 14:14:20 GMT 2023","Thu Apr 20 14:14:21 GMT 2023","793","TC.conduit","test_conduit","TestLoginLogout","","","Létező felhasználó bejelentkezése","A létrehozott tesztelek felhasználó bejelentkeztetése"
"passed","Thu Apr 20 14:14:29 GMT 2023","Thu Apr 20 14:14:31 GMT 2023","1579","TC.conduit","test_conduit","TestArticle","","","Random cikk létrehozása",""
